First,Last,Email,Class,DOB
Kirk,Browning,pede.nonummy@ultricesDuisvolutpat.com,Sophomore,10/11/1980
Ryan,Newton,pellentesque.massa@ridiculusmus.co.uk,Senior,6/27/1946
Molly,Ferrell,porttitor.scelerisque@Sed.edu,Senior,9/12/1993
Thomas,Morrison,purus.mauris.a@miDuis.net,Junior,1/16/2028
Bradley,Daniels,quis@egetmetus.org,Junior,11/3/1930
Germaine,Christensen,sagittis.Nullam@afeugiat.co.uk,Freshman,2/16/1936
Madaline,Cherry,sapien.molestie@rutrum.net,Sophomore,7/28/2003
Eaton,Shannon,sed@atarcuVestibulum.edu,Senior,7/29/1972
Lee,Newman,sem.egestas@erat.com,Freshman,11/14/1993
Kendall,Chaney,sem.molestie@non.net,Junior,3/5/2014
Amy,Sanchez,semper.rutrum@feugiat.co.uk,Junior,6/11/2008
Echo,Burns,semper@dictumeleifendnunc.edu,Sophomore,3/7/1991
Kermit,Sullivan,sit.amet@nisi.co.uk,Junior,4/26/2004
Jaquelyn,Lynn,sit@quama.net,Senior,10/29/2016
Orli,Olson,sociis.natoque@gravida.ca,Freshman,9/10/1939
Amery,Horne,tellus.imperdiet@Vestibulumaccumsanneque.ca,Junior,5/25/2013
Malcolm,Compton,tellus.justo@euodiotristique.net,Senior,2/24/1940
Xander,Keith,tempus.non.lacinia@in.co.uk,Junior,4/7/2014
Ferdinand,Waller,tortor.at@Morbi.org,Sophomore,12/26/1934
Brent,Pruitt,ullamcorper.eu@etmagnisdis.edu,Sophomore,2/19/2010
Shannon,Burnett,ullamcorper.eu@sapienAenean.org,Junior,10/29/2007
Chiquita,Oliver,ullamcorper.magna@Donec.org,Junior,9/16/1966
Brennan,Melendez,ut@sedsapien.ca,Senior,2/13/1974
Patience,Hopkins,vehicula.Pellentesque.tincidunt@mollisneccursus.ca,Senior,7/1/1926
Camilla,Reed,velit@Suspendissetristique.com,Sophomore,10/17/1979
Kylynn,Grant,venenatis.vel@ametconsectetueradipiscing.org,Freshman,2/16/1960
Lilah,Curtis,vitae.orci.Phasellus@Nuncacsem.com,Senior,9/2/1956
Bruno,Walton,volutpat.nunc.sit@ligulaeuenim.co.uk,Junior,1/15/1932
